Country,Country__colour,id,EuSCAPE ID or sample name,Data source,Data source__colour,Carbapenem resistance,Carbapenem resistance__colour,Host,Host__colour,Sample type,Clinical importance,Clinical importance__colour,Epidemiological context,Epidemiological context__colour,ST,ST__colour,latitude,longitude,Location accuracy,Location accuracy__colour,day,month,year,Hospital code,Best matching K-type (capsular loci),Best matching K-type (capsular loci)__colour,Presence/absence of KPC-like in silico,Presence/absence of KPC-like in silico__colour,KPC-like variant,KPC-like variant__colour,Presence/absence of OXA-48-like in silico,Presence/absence of OXA-48-like in silico__colour,OXA-48-like variant,OXA-48-like variant__colour,Colistin resistance,Colistin resistance__colour
Greece,#C603C6,18623_1#55,EuSCAPE_GR110,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,258,#0730E8,38.0412852,23.5417553,Address-level,#fef0d9,21,3,2014,2,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-12,#1b9e77,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Brazil,#F2D4F2,SRR1561200,Brazil-2007a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,-14.235004,-51.92528,Country-level,#b30000,,,2007,Unknown acquisition (community/hospital),KL156-D1,#1f78b4,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Brazil,#F2D4F2,SRR1561201,Brazil-2007b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,-14.235004,-51.92528,Country-level,#b30000,,,2007,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Denmark,#B091C9,SRR1561217,Denmark-2009a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,56.26392,9.501785,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Denmark,#B091C9,SRR1561218,Denmark-2009b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,56.26392,9.501785,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL161,#fb9a99,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Finland,#CCFDFD,SRR1561219,Finland-2009a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,61.92411,25.7481511,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL156-D1,#1f78b4,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Finland,#CCFDFD,SRR1561220,Finland-2009b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,61.92411,25.7481511,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL37,#cab2d6,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Finland,#CCFDFD,SRR1561221,Finland-2009c,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,61.92411,25.7481511,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Greece,#C603C6,SRR1561222,Greece-2007,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,39.074208,21.824312,Country-level,#b30000,,,2007,Unknown acquisition (community/hospital),KL156-D1,#1f78b4,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Greece,#C603C6,SRR1561223,Greece-2008,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,39.074208,21.824312,Country-level,#b30000,,,2008,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
