accessionVersion	dataUseTerms	dataUseTermsUrl	authorAffiliations	authors	earliestReleaseDate	geoLocAdmin1	geoLocAdmin2	geoLocCity	geoLocCountry	hostNameScientific	insdcAccessionFull	length	sampleCollectionDate
PP_0010E1H.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Kokolo			Democratic Republic of the Congo	Homo sapiens	PQ352020.1	190721	2024-08-06
PP_0010E2F.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Limete			Democratic Republic of the Congo	Homo sapiens	PQ352021.1	190667	2024-08-05
PP_0010E3D.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Ngiri-Ngiri			Democratic Republic of the Congo	Homo sapiens	PQ352022.1	189838	2024-07-01
PP_0010E59.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Ngiri-Ngiri			Democratic Republic of the Congo	Homo sapiens	PQ352023.1	189802	2024-07-01
PP_0010E67.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Kasa-Vubu			Democratic Republic of the Congo	Homo sapiens	PQ352024.1	190555	2024-08-15
PP_0010E75.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Kasa-Vubu			Democratic Republic of the Congo	Homo sapiens	PQ352025.1	188967	2024-08-15
PP_0010E83.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Biyela			Democratic Republic of the Congo	Homo sapiens	PQ352026.1	189270	2024-08-12
PP_0010EAZ.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Gombe			Democratic Republic of the Congo	Homo sapiens	PQ352027.1	190625	2024-08-15
PP_0010EBX.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Limete			Democratic Republic of the Congo	Homo sapiens	PQ352028.1	187718	2024-08-12
PP_0010ECV.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	2024-09-20	Kinshasa, Limete			Democratic Republic of the Congo	Homo sapiens	PQ352029.1	186526	2024-08-12
